a,b,c,ba_bstb,ba_bsta,ba_bstbsize,ba_bstasize,bc_bstb,bc_bsta,bc_bstbsize,bc_bstasize,ca_bstb,ca_bsta,ca_bstbsize,ca_bstasize,fwd_arb,rev_arb
BTC,SNX,ETH,0.00014655,0.00014699,8.32e-06,64.0,0.0019678,0.0019697,9.82e-06,3.50978806,0.073639,0.07364,2.8289726,3.0,0.9340920179698786,
BTC,STORJ,ETH,3.243e-05,3.263e-05,1.8211,1.8172,0.0004339,0.000439,1368.4029,454.1997,0.073639,0.07364,2.8289726,3.0,0.2154246590332365,
BTC,TIME,ETH,0.00155712,0.00156202,6.0,1e-06,0.0209346,0.0209594,3.0,18.684,0.073639,0.07364,2.8289726,3.0,0.7848791907153929,
BTC,TOMO,ETH,2.766e-05,2.777e-05,4.3424,764.808,0.0003699,0.0003727,1702.8612,152.7577,0.073639,0.07364,2.8289726,3.0,0.6803984677181907,
BTC,TRX,KCS,1.521e-06,1.524e-06,11239.0347,54613.2723,0.003319,0.003328,10555.728,8.7173,0.0005051,0.0005053,0.0593,0.347,,10.11176685695534
BTC,VET,ETH,1.468e-06,1.471e-06,11551.3531,6941.1417,1.797e-05,1.8e-05,30192.4122,5620.0,0.073639,0.07364,2.8289726,3.0,10.638350725260025,
BTC,XLM,KCS,4.69e-06,4.7e-06,35880.9766,8182.4799,0.00964,0.00965,160.4329,44.4887,0.0005051,0.0005053,0.0593,0.347,,3.7028332765957073
BTC,XMR,ETH,0.005816,0.005821,1.0362,1.0575,0.08309,0.08321,0.0472,0.9372,0.073639,0.07364,2.8289726,3.0,,5.218745482047749
BTC,XRP,ETH,1.661e-05,1.662e-05,6537.0571,22.0762,0.0002257,0.0002258,7.7525,2291.4333,0.073639,0.07364,2.8289726,3.0,,0.10194116907340511
USDC,ADA,USDT,0.942387,0.942817,742.5501,254.6576,0.840385,0.840578,1314.3696,430.6293,1.0001,1.0002,633964.349776,90237.79913039,11.9773897228999,
USDC,ADA,BTC,0.942387,0.942817,742.5501,254.6576,2.287e-05,2.288e-05,6.2449,3614.1594,39222.5,39222.6,0.07811264,0.07856453,4.906599539760048,
USDC,BCHSV,USDT,77.96,78.03,1.2,11.9658,85.483,85.589,10.374,2.374,1.0001,1.0002,633964.349776,90237.79913039,,9.671972123926697
USDC,DOGE,USDT,0.13887,0.13904,5039.8792,1400.0,0.13962,0.13963,2999.0,86948.0,1.0001,1.0002,633964.349776,90237.79913039,,0.5276150474683439
USDC,DOGE,BTC,0.13887,0.13904,5039.8792,1400.0,3.557e-06,3.563e-06,15324.5306,5146.4606,39222.5,39222.6,0.07811264,0.07856453,,0.44156137262658657
USDC,EOS,USDT,2.5904,2.5927,10.413,67.91,2.6123,2.6127,0.5558,1200.0,1.0001,1.0002,633964.349776,90237.79913039,,0.8668103224437784
USDC,EOS,BTC,2.5904,2.5927,10.413,67.91,6.322e-05,6.326e-05,2.6364,267.6513,39222.5,39222.6,0.07811264,0.07856453,4.295888305474738,
USDC,LTC,USDT,100.29,100.33,1.0685,0.0001,100.44,100.441,0.40862,20.79882112,1.0001,1.0002,633964.349776,90237.79913039,,0.2197688069371262
USDC,LTC,BTC,100.29,100.33,1.0685,0.0001,0.002727,0.002728,1.506569,1.372945,39222.5,39222.6,0.07811264,0.07856453,,6.714559212100046
USDC,XRP,USDT,0.65182,0.65187,80.4672,385.0,0.65206,0.65207,9664.6079,2289.2722,1.0001,1.0002,633964.349776,90237.79913039,,0.13918898031815008
